Time (s),Signal (V)
0,2.180459245
0.002,2.225804082
0.004,2.452528266
0.006,2.482758158
0.008,2.407183429
0.01,2.376953538
0.012,2.346723647
0.014,2.256033973
0.016,2.104884517
0.018,2.104884517
0.02,2.029309789
0.022,2.180459245
0.024,2.422298375
0.026,2.497873103
0.028,2.512988049
0.03,2.482758158
0.032,2.30137881
0.034,2.1653443
0.036,2.150229354
0.038,2.180459245
0.04,2.240919028
0.042,2.256033973
0.044,2.376953538
0.046,2.512988049
0.048,2.54321794
0.05,2.407183429
0.052,2.30137881
0.054,1.953735061
0.056,2.05953968
0.058,2.180459245
0.06,2.180459245
0.062,2.346723647
0.064,2.437413321
0.066,2.467643212
0.068,2.452528266
0.07,2.452528266
0.072,2.225804082
0.074,2.1653443
0.076,2.119999463
0.078,2.029309789
0.08,2.089769571
0.082,2.346723647
0.084,2.452528266
0.086,2.452528266
0.088,2.376953538
0.09,2.240919028
0.092,2.225804082
0.094,2.240919028
0.096,2.119999463
0.098,2.05953968
0.1,2.150229354
0.102,2.361838593
0.104,2.482758158
0.106,2.482758158
0.108,2.452528266
0.11,2.361838593
0.112,2.240919028
0.114,2.119999463
0.116,2.05953968
0.118,2.150229354
0.12,2.150229354
0.122,2.286263864
0.124,2.346723647
0.126,2.316493756
0.128,2.376953538
0.13,2.392068484
0.132,2.195574191
0.134,2.150229354
0.136,2.104884517
0.138,2.089769571
0.14,2.104884517
0.142,2.331608701
0.144,2.437413321
0.146,2.497873103
0.148,2.452528266
0.15,2.331608701
0.152,2.180459245
0.154,2.210689136
0.156,2.119999463
0.158,2.119999463
0.16,2.225804082
0.162,2.437413321
0.164,2.618792668
0.166,2.649022559
0.168,2.482758158
0.17,2.376953538
0.172,2.30137881
0.174,2.256033973
0.176,2.044424735
0.178,2.256033973
0.18,2.331608701
0.182,2.528102994
0.184,2.588562777
0.186,2.558332886
0.188,2.528102994
0.19,2.528102994
0.192,2.316493756
0.194,2.271148919
0.196,2.376953538
0.198,2.316493756
0.2,2.422298375
0.202,2.664137505
0.204,2.709482342
0.206,2.664137505
0.208,2.452528266
0.21,2.437413321
0.212,2.30137881
0.214,2.240919028
0.216,2.135114408
0.218,2.135114408
0.22,2.286263864
0.222,2.528102994
0.224,2.528102994
0.226,2.558332886
0.228,2.407183429
0.23,2.331608701
0.232,2.195574191
0.234,2.029309789
0.236,2.05953968
0.238,2.119999463
0.24,2.256033973
0.242,2.30137881
0.244,2.286263864
0.246,2.452528266
0.248,2.422298375
0.25,2.286263864
0.252,2.119999463
0.254,2.014194843
0.256,1.968850007
0.258,2.029309789
0.26,2.135114408
0.262,2.331608701
0.264,2.331608701
0.266,2.361838593
0.268,2.361838593
0.27,2.271148919
0.272,2.104884517
0.274,2.05953968
0.276,2.074654626
0.278,2.104884517
0.28,2.150229354
0.282,2.240919028
0.284,2.422298375
0.286,2.452528266
0.288,2.346723647
0.29,2.286263864
0.292,2.074654626
0.294,1.92350517
0.296,1.92350517
0.298,1.938620115
0.3,2.195574191
0.302,2.271148919
0.304,2.316493756
0.306,2.331608701
0.308,2.331608701
0.31,2.195574191
0.312,2.029309789
0.314,1.983964952
0.316,1.983964952
0.318,1.983964952
0.32,2.074654626
0.322,2.014194843
0.324,2.225804082
0.326,2.286263864
0.328,2.392068484
0.33,2.467643212
0.332,2.422298375
0.334,2.54321794
0.336,2.78505707
0.338,3.087355982
0.34,3.389654895
0.342,3.782643481
0.344,4.190747012
0.346,4.523275816
0.348,4.75
0.35,4.583735598
0.352,4.432586142
0.354,4.251206795
0.356,4.054712502
0.358,3.737298644
0.36,3.495459514
0.362,3.434999731
0.364,3.057126091
0.366,2.664137505
0.368,2.104884517
0.37,1.696780985
0.372,1.636321203
0.374,1.727010877
0.376,1.878160333
0.378,1.92350517
0.38,2.044424735
0.382,2.331608701
0.384,2.422298375
0.386,2.392068484
0.388,2.392068484
0.39,2.346723647
0.392,2.210689136
0.394,2.104884517
