Time (s),Signal (V)
0,2.635078416
0.002,2.704420107
0.004,2.583072147
0.006,2.375047073
0.008,2.132351154
0.01,1.958996926
0.012,1.872319812
0.014,1.976332349
0.016,2.167022
0.018,2.461724188
0.02,2.617742993
0.022,2.687084684
0.024,2.617742993
0.026,2.427053342
0.028,2.115015731
0.03,1.976332349
0.032,1.906990657
0.034,2.011003194
0.036,2.271034536
0.038,2.548401302
0.04,2.704420107
0.042,2.739090953
0.044,2.617742993
0.046,2.444388765
0.048,2.167022
0.05,1.976332349
0.052,1.976332349
0.054,2.04567404
0.056,2.253699114
0.058,2.565736724
0.06,2.72175553
0.062,2.773761798
0.064,2.669749261
0.066,2.461724188
0.068,2.167022
0.07,1.993667771
0.072,1.993667771
0.074,2.080344885
0.076,2.271034536
0.078,2.583072147
0.08,2.739090953
0.082,2.773761798
0.084,2.635078416
0.086,2.444388765
0.088,2.149686577
0.09,1.993667771
0.092,1.993667771
0.094,2.132351154
0.096,2.288369959
0.098,2.60040757
0.1,2.756426375
0.102,2.773761798
0.104,2.617742993
0.106,2.427053342
0.108,2.132351154
0.11,1.976332349
0.112,1.958996926
0.114,2.097680308
0.116,2.253699114
0.118,2.617742993
0.12,2.72175553
0.122,2.756426375
0.124,2.60040757
0.126,2.392382496
0.128,2.080344885
0.13,1.958996926
0.132,1.941661503
0.134,2.097680308
0.136,2.305705382
0.138,2.60040757
0.14,2.704420107
0.142,2.704420107
0.144,2.548401302
0.146,2.392382496
0.148,2.028338617
0.15,1.993667771
0.152,1.92432608
0.154,2.115015731
0.156,2.323040805
0.158,2.60040757
0.16,2.72175553
0.162,2.739090953
0.164,2.565736724
0.166,2.357711651
0.168,2.080344885
0.17,1.958996926
0.172,1.958996926
0.174,2.149686577
0.176,2.357711651
0.178,2.635078416
0.18,2.756426375
0.182,2.704420107
0.184,2.565736724
0.186,2.375047073
0.188,2.080344885
0.19,1.976332349
0.192,1.993667771
0.194,2.167022
0.196,2.375047073
0.198,2.652413839
0.2,2.72175553
0.202,2.704420107
0.204,2.531065879
0.206,2.305705382
0.208,2.028338617
0.21,1.941661503
0.212,1.958996926
0.214,2.149686577
0.216,2.392382496
0.218,2.617742993
0.22,2.739090953
0.222,2.687084684
0.224,2.496395033
0.226,2.271034536
0.228,2.011003194
0.23,1.906990657
0.232,1.941661503
0.234,2.167022
0.236,2.409717919
0.238,2.635078416
0.24,2.72175553
0.242,2.669749261
0.244,2.444388765
0.246,2.236363691
0.248,1.993667771
0.25,1.889655234
0.252,1.993667771
0.254,2.167022
0.256,2.444388765
0.258,2.652413839
0.26,2.72175553
0.262,2.669749261
0.264,2.47905961
0.266,2.236363691
0.268,2.011003194
0.27,1.906990657
0.272,1.976332349
0.274,2.184357422
0.276,2.461724188
0.278,2.652413839
0.28,2.687084684
0.282,2.669749261
0.284,2.461724188
0.286,2.201692845
0.288,1.993667771
0.29,1.906990657
0.292,2.011003194
0.294,2.184357422
0.296,2.461724188
0.298,2.652413839
0.3,2.704420107
0.302,2.635078416
0.304,2.409717919
0.306,2.149686577
0.308,1.976332349
0.31,1.889655234
0.312,2.011003194
0.314,2.219028268
0.316,2.496395033
0.318,2.652413839
0.32,2.72175553
0.322,2.635078416
0.324,2.444388765
0.326,2.149686577
0.328,1.958996926
0.33,1.941661503
0.332,2.028338617
0.334,2.236363691
0.336,2.531065879
0.338,2.669749261
0.34,2.72175553
0.342,2.635078416
0.344,2.427053342
0.346,2.149686577
0.348,1.958996926
0.35,1.92432608
0.352,2.04567404
0.354,2.219028268
0.356,2.531065879
0.358,2.652413839
0.36,2.704420107
0.362,2.635078416
0.364,2.375047073
