Time (s),Signal (V)
0,1.825678443
0.002,1.690709755
0.004,1.525748026
0.006,1.675713235
0.008,2.020633213
0.01,2.470528837
0.012,2.245581025
0.014,2.395546233
0.016,2.215587984
0.018,2.170598421
0.02,1.540744547
0.022,1.420772381
0.024,1.495754985
0.026,1.765692359
0.028,2.065622776
0.03,2.380549712
0.032,2.425539275
0.034,2.560507962
0.036,2.33556015
0.038,2.350556671
0.04,1.735699318
0.042,1.495754985
0.044,1.375782818
0.046,1.480758464
0.048,1.900661047
0.05,2.410542754
0.052,2.905427941
0.054,2.830445337
0.056,2.590501004
0.058,2.455532317
0.06,1.96064713
0.062,1.540744547
0.064,1.900661047
0.066,1.990640171
0.068,2.245581025
0.07,2.425539275
0.072,2.725469691
0.074,2.605497525
0.076,2.410542754
0.078,2.245581025
0.08,1.915657567
0.082,1.630723672
0.084,1.615727151
0.086,1.825678443
0.088,2.200591463
0.09,2.590501004
0.092,2.770459253
0.094,2.965414024
0.096,2.575504483
0.098,2.095615817
0.1,1.810681922
0.102,1.915657567
0.104,1.765692359
0.106,2.215587984
0.108,2.320563629
0.11,2.485525358
0.112,2.620494045
0.114,2.530514921
0.116,2.470528837
0.118,2.980410545
0.12,2.560507962
0.122,2.095615817
0.124,1.660716714
0.126,2.260577546
0.128,2.665483608
0.13,3.160368794
0.132,3.460299211
0.134,2.860438378
0.136,2.755462733
0.138,2.5155184
0.14,2.020633213
0.142,1.975643651
0.144,2.245581025
0.146,2.33556015
0.148,2.785455774
0.15,3.145372274
0.152,3.310334003
0.154,3.220354878
0.156,3.44530269
0.158,2.950417503
0.16,2.650487087
0.162,2.605497525
0.164,2.785455774
0.166,2.860438378
0.168,3.490292252
0.17,3.670250502
0.172,3.970180918
0.174,4.090153084
0.176,3.565274856
0.178,2.920424462
0.18,2.89043142
0.182,3.100382711
0.184,3.535281815
0.186,3.775226148
0.188,4.045163522
0.19,3.685247023
0.192,3.460299211
0.194,3.64025746
0.196,3.580271377
0.198,3.220354878
0.2,3.190361836
0.202,3.235351398
0.204,3.340327044
0.206,3.160368794
0.208,3.700243543
0.21,3.910194835
0.212,4.345093938
0.214,4.150139168
0.216,3.805219189
0.218,3.07038967
0.22,3.145372274
0.222,2.905427941
0.224,3.145372274
0.226,3.385316607
0.228,3.805219189
0.23,3.775226148
0.232,3.64025746
0.234,3.355323565
0.236,3.235351398
0.238,2.905427941
0.24,2.980410545
0.242,2.320563629
0.244,2.230584504
0.246,2.365553192
0.248,2.725469691
0.25,2.920424462
0.252,3.325330523
0.254,2.800452295
0.256,2.635490566
0.258,2.380549712
0.26,2.230584504
0.262,2.245581025
0.264,2.1556019
0.266,2.215587984
0.268,2.635490566
0.27,2.905427941
0.272,2.725469691
0.274,2.605497525
0.276,2.740466212
0.278,2.470528837
0.28,2.050626255
0.282,1.735699318
0.284,1.96064713
0.286,2.230584504
0.288,2.530514921
0.29,2.875434899
0.292,2.935420982
0.294,2.425539275
0.296,2.350556671
0.298,1.885664526
0.3,1.735699318
0.302,1.855671484
0.304,1.96064713
0.306,2.035629734
0.308,2.425539275
0.31,2.755462733
0.312,2.845441857
0.314,2.665483608
0.316,2.680480129
0.318,2.500521879
0.32,2.080619296
0.322,2.035629734
0.324,2.245581025
0.326,2.065622776
0.328,2.410542754
0.33,2.380549712
0.332,2.650487087
0.334,2.635490566
0.336,2.050626255
0.338,1.660716714
0.34,1.825678443
0.342,1.690709755
0.344,1.900661047
0.346,2.275574067
0.348,2.425539275
0.35,2.755462733
0.352,3.205358357
0.354,2.830445337
0.356,2.275574067
0.358,1.840674963
0.36,1.570737589
0.362,1.630723672
0.364,2.245581025
0.366,2.080619296
0.368,2.695476649
0.37,2.725469691
0.372,2.635490566
0.374,2.320563629
0.376,2.245581025
0.378,2.125608859
0.38,1.795685401
0.382,1.58573411
0.384,1.765692359
0.386,2.020633213
0.388,2.71047317
0.39,2.770459253
0.392,2.905427941
0.394,2.500521879
0.396,2.350556671
0.398,2.050626255
0.4,1.675713235
0.402,1.765692359
0.404,1.870668005
0.406,2.095615817
0.408,2.590501004
0.41,3.010403586
0.412,2.530514921
0.414,2.635490566
0.416,2.245581025
0.418,2.14060538
0.42,2.125608859
0.422,1.930654088
0.424,1.705706276
0.426,2.230584504
0.428,2.455532317
0.43,2.545511441
0.432,2.785455774
0.434,2.725469691
0.436,2.080619296
0.438,1.705706276
0.44,1.675713235
0.442,1.510751506
0.444,1.690709755
0.446,2.005636692
0.448,2.71047317
0.45,2.845441857
0.452,2.590501004
0.454,2.545511441
0.456,2.125608859
0.458,1.765692359
0.46,1.120841965
0.462,1.840674963
0.464,2.470528837
0.466,1.96064713
0.468,2.230584504
0.47,2.470528837
0.472,3.235351398
0.474,2.530514921
0.476,2.380549712
0.478,1.40577586
0.48,1.345789777
0.482,2.33556015
0.484,1.810681922
0.486,2.245581025
0.488,3.055393149
0.49,2.650487087
0.492,3.055393149
0.494,2.320563629
0.496,2.050626255
0.498,2.080619296
0.5,1.900661047
0.502,1.96064713
0.504,1.645720193
0.506,2.14060538
0.508,2.740466212
0.51,2.860438378
0.512,2.665483608
0.514,2.440535796
0.516,1.990640171
0.518,1.765692359
0.52,1.765692359
0.522,1.885664526
0.524,2.200591463
0.526,2.545511441
0.528,2.920424462
0.53,2.860438378
0.532,2.800452295
0.534,2.230584504
0.536,1.795685401
0.538,1.900661047
0.54,1.930654088
0.542,2.305567108
0.544,2.125608859
0.546,2.455532317
0.548,2.770459253
0.55,2.89043142
0.552,2.560507962
0.554,2.290570588
0.556,1.855671484
0.558,1.630723672
0.56,1.825678443
0.562,1.690709755
0.564,1.990640171
0.566,2.665483608
0.568,2.830445337
0.57,2.500521879
0.572,2.485525358
0.574,2.590501004
0.576,2.185594942
0.578,1.615727151
0.58,1.855671484
0.582,2.1556019
0.584,2.215587984
0.586,2.680480129
0.588,2.965414024
0.59,3.010403586
0.592,2.920424462
0.594,2.725469691
0.596,2.080619296
0.598,1.660716714
0.6,2.005636692
0.602,2.185594942
0.604,2.290570588
0.606,2.950417503
0.608,3.160368794
0.61,3.295337482
0.612,3.625260939
0.614,2.995407066
0.616,2.200591463
0.618,1.735699318
0.62,1.810681922
0.622,1.900661047
0.624,2.605497525
0.626,2.950417503
0.628,2.920424462
0.63,2.860438378
0.632,3.115379232
0.634,2.725469691
0.636,2.365553192
0.638,2.14060538
0.64,2.065622776
0.642,2.1556019
0.644,2.440535796
0.646,3.025400107
0.648,3.280340961
0.65,2.845441857
0.652,2.605497525
0.654,2.33556015
0.656,1.885664526
0.658,1.645720193
0.66,1.675713235
0.662,1.855671484
0.664,2.110612338
0.666,2.545511441
0.668,2.725469691
0.67,2.875434899
0.672,2.575504483
0.674,2.425539275
0.676,2.110612338
0.678,1.690709755
0.68,2.065622776
0.682,2.050626255
0.684,2.245581025
0.686,2.71047317
0.688,3.055393149
0.69,2.725469691
0.692,2.245581025
0.694,2.050626255
0.696,1.735699318
0.698,1.555741068
0.7,1.525748026
0.702,1.840674963
0.704,2.14060538
0.706,2.575504483
0.708,2.935420982
0.71,3.08538619
0.712,2.725469691
0.714,2.275574067
0.716,1.915657567
0.718,1.78068888
0.72,1.900661047
0.722,1.555741068
0.724,2.290570588
0.726,2.785455774
0.728,2.845441857
0.73,2.680480129
0.732,2.470528837
0.734,2.320563629
0.736,1.975643651
0.738,1.720702797
0.74,1.60073063
0.742,2.035629734
0.744,2.365553192
0.746,2.71047317
0.748,2.800452295
0.75,2.830445337
0.752,2.755462733
0.754,2.125608859
0.756,2.215587984
0.758,2.290570588
0.76,2.455532317
0.762,2.695476649
0.764,3.220354878
0.766,3.520285294
0.768,3.805219189
0.77,4.315100897
0.772,4.450069584
0.774,3.760229627
0.776,3.505288773
0.778,3.190361836
0.78,3.310334003
0.782,2.605497525
0.784,3.190361836
0.786,2.560507962
0.788,2.665483608
0.79,2.680480129
0.792,2.095615817
0.794,1.315796735
0.796,0.865901111
0.798,0.85090459
0.8,1.03086284
0.802,1.345789777
0.804,1.60073063
0.806,2.050626255
0.808,2.260577546
0.81,2.455532317
0.812,2.320563629
0.814,1.615727151
0.816,1.150835006
0.818,1.330793256
0.82,1.825678443
0.822,2.170598421
0.824,2.455532317
0.826,2.680480129
0.828,2.635490566
0.83,2.680480129
0.832,2.605497525
0.834,2.320563629
0.836,1.870668005
0.838,1.825678443
0.84,1.855671484
0.842,2.1556019
0.844,2.845441857
0.846,3.190361836
0.848,2.725469691
0.85,2.410542754
0.852,2.575504483
0.854,2.33556015
0.856,1.96064713
0.858,1.840674963
0.86,2.020633213
0.862,2.245581025
0.864,2.785455774
0.866,3.08538619
0.868,2.965414024
0.87,2.815448816
0.872,2.560507962
0.874,2.245581025
0.876,2.14060538
0.878,2.215587984
0.88,2.125608859
0.882,2.215587984
0.884,2.770459253
0.886,3.175365315
0.888,3.025400107
0.89,2.920424462
0.892,3.07038967
0.894,2.545511441
0.896,2.320563629
0.898,2.125608859
0.9,2.245581025
0.902,2.290570588
0.904,2.5155184
0.906,3.130375753
0.908,3.100382711
0.91,2.920424462
0.912,2.800452295
0.914,2.33556015
0.916,2.1556019
0.918,2.005636692
0.92,2.275574067
0.922,2.455532317
0.924,3.44530269
0.926,3.325330523
0.928,3.460299211
0.93,3.160368794
0.932,2.950417503
0.934,2.485525358
0.936,2.080619296
0.938,1.945650609
0.94,2.410542754
0.942,2.5155184
0.944,2.860438378
0.946,3.08538619
0.948,3.26534444
0.95,3.385316607
0.952,2.860438378
0.954,2.575504483
0.956,2.830445337
0.958,2.5155184
0.96,2.920424462
0.962,3.07038967
0.964,3.44530269
0.966,3.805219189
0.968,3.400313127
0.97,3.415309648
0.972,3.44530269
0.974,3.145372274
0.976,3.160368794
0.978,3.040396628
0.98,2.935420982
0.982,3.010403586
0.984,3.670250502
0.986,3.865205272
0.988,4.180132209
0.99,4.135142647
0.992,3.355323565
0.994,3.295337482
0.996,3.250347919
0.998,3.655253981
1,3.145372274
1.002,3.730236585
1.004,4.270111334
1.006,4.585038271
1.008,4.660020875
1.01,4.150139168
1.012,3.895198314
1.014,3.64025746
1.016,3.535281815
1.018,3.505288773
1.02,3.805219189
1.022,4.165135689
1.024,4.180132209
1.026,4.510055667
1.028,4.390083501
1.03,4.19512873
1.032,3.82021571
1.034,3.790222668
1.036,3.44530269
1.038,3.370320086
1.04,3.280340961
1.042,3.805219189
1.044,4.19512873
1.046,4.345093938
1.048,4.330097417
1.05,3.940187876
1.052,3.355323565
1.054,3.295337482
1.056,2.815448816
1.058,2.530514921
1.06,2.950417503
1.062,3.295337482
1.064,3.550278335
1.066,3.595267898
1.068,3.565274856
1.07,3.160368794
1.072,2.875434899
1.074,2.470528837
1.076,2.725469691
1.078,2.320563629
1.08,2.755462733
1.082,2.950417503
1.084,3.280340961
1.086,3.190361836
1.088,3.295337482
1.09,3.055393149
1.092,2.785455774
1.094,2.5155184
1.096,2.1556019
1.098,2.095615817
1.1,2.365553192
1.102,3.205358357
1.104,3.100382711
1.106,2.995407066
1.108,2.950417503
1.11,2.995407066
1.112,2.455532317
1.114,2.005636692
1.116,2.200591463
1.118,1.945650609
1.12,2.170598421
1.122,2.680480129
1.124,2.950417503
1.126,3.220354878
1.128,3.07038967
1.13,2.725469691
1.132,2.33556015
1.134,2.1556019
1.136,2.320563629
1.138,2.470528837
1.14,2.815448816
1.142,3.010403586
1.144,3.115379232
1.146,3.130375753
1.148,3.115379232
1.15,2.950417503
1.152,2.785455774
1.154,2.260577546
1.156,2.065622776
1.158,2.095615817
1.16,2.350556671
1.162,2.590501004
1.164,3.07038967
1.166,3.130375753
1.168,3.055393149
1.17,2.755462733
1.172,2.470528837
1.174,2.290570588
1.176,2.14060538
1.178,2.170598421
1.18,2.500521879
1.182,3.460299211
1.184,3.325330523
1.186,3.025400107
1.188,2.965414024
1.19,2.800452295
1.192,2.740466212
1.194,2.350556671
1.196,1.885664526
1.198,2.275574067
1.2,2.605497525
1.202,2.950417503
1.204,3.280340961
1.206,3.250347919
1.208,2.995407066
1.21,2.845441857
1.212,2.410542754
1.214,2.200591463
1.216,2.110612338
1.218,2.305567108
1.22,2.500521879
1.222,3.130375753
1.224,2.725469691
1.226,3.025400107
1.228,2.980410545
1.23,2.650487087
1.232,2.320563629
1.234,2.410542754
1.236,2.290570588
1.238,2.185594942
1.24,2.605497525
1.242,2.575504483
1.244,2.620494045
1.246,2.800452295
1.248,2.935420982
1.25,2.500521879
1.252,2.350556671
1.254,2.14060538
1.256,2.065622776
1.258,2.065622776
1.26,2.380549712
1.262,2.740466212
1.264,3.220354878
1.266,3.235351398
1.268,3.295337482
1.27,2.680480129
1.272,2.245581025
1.274,2.245581025
1.276,2.035629734
1.278,2.14060538
1.28,2.350556671
1.282,2.605497525
1.284,2.860438378
1.286,3.130375753
1.288,2.905427941
1.29,2.725469691
1.292,2.275574067
1.294,1.78068888
1.296,1.900661047
1.298,2.035629734
1.3,2.650487087
1.302,3.145372274
1.304,2.965414024
1.306,3.205358357
1.308,3.130375753
1.31,2.545511441
1.312,2.095615817
1.314,2.005636692
1.316,2.080619296
1.318,2.380549712
1.32,2.425539275
1.322,3.025400107
1.324,3.010403586
1.326,3.025400107
1.328,2.755462733
1.33,2.470528837
1.332,2.065622776
1.334,2.305567108
1.336,1.840674963
1.338,1.690709755
1.34,2.605497525
1.342,3.07038967
1.344,3.130375753
1.346,3.145372274
1.348,2.860438378
1.35,2.33556015
1.352,2.350556671
1.354,1.975643651
1.356,2.095615817
1.358,2.095615817
1.36,2.590501004
1.362,3.115379232
1.364,2.995407066
1.366,3.100382711
1.368,3.115379232
1.37,2.935420982
1.372,2.365553192
1.374,2.185594942
1.376,2.020633213
1.378,2.260577546
1.38,2.530514921
1.382,2.89043142
1.384,2.935420982
1.386,2.740466212
1.388,2.71047317
1.39,2.260577546
1.392,2.050626255
1.394,2.020633213
1.396,1.96064713
1.398,2.230584504
1.4,3.370320086
1.402,3.580271377
1.404,3.08538619
1.406,2.995407066
1.408,3.025400107
1.41,2.590501004
1.412,2.440535796
