Time (s),Signal (V)
0,2.098206471
0.002,1.8371068
0.004,1.559688401
0.006,1.731035059
0.008,1.8371068
0.01,1.845266165
0.012,2.032931553
0.014,2.008453459
0.016,2.261393765
0.018,2.187959483
0.02,2.065569012
0.022,1.845266165
0.024,1.535210306
0.026,1.755513153
0.028,1.804469342
0.03,1.959497271
0.032,2.057409647
0.034,2.073728377
0.036,2.26955313
0.038,2.220596942
0.04,2.073728377
0.042,1.8371068
0.044,1.543369671
0.046,1.8371068
0.048,1.869744259
0.05,2.008453459
0.052,2.041090918
0.054,2.098206471
0.056,2.342987412
0.058,2.277712495
0.06,2.090047106
0.062,1.763672518
0.064,1.510732212
0.066,1.755513153
0.068,1.869744259
0.07,1.8371068
0.072,2.139003295
0.074,2.090047106
0.076,2.342987412
0.078,2.277712495
0.08,2.000294095
0.082,1.706556965
0.084,1.584166495
0.086,1.869744259
0.088,1.796309977
0.09,1.918700448
0.092,2.024772189
0.094,2.081887742
0.096,2.326668683
0.098,2.187959483
0.1,2.073728377
0.102,1.665760142
0.104,1.494413483
0.106,1.85342553
0.108,1.85342553
0.11,1.894222353
0.112,2.016612824
0.114,2.073728377
0.116,2.351146777
0.118,2.220596942
0.12,2.032931553
0.122,1.71471633
0.124,1.57600713
0.126,1.845266165
0.128,1.869744259
0.13,1.894222353
0.132,2.016612824
0.134,2.024772189
0.136,2.196118847
0.138,2.220596942
0.14,2.081887742
0.142,1.739194424
0.144,1.690238236
0.146,1.731035059
0.148,1.788150612
0.15,1.886062989
0.152,1.99213473
0.154,2.147162659
0.156,2.359306142
0.158,2.13084393
0.16,1.959497271
0.162,1.608644589
0.164,1.673919506
0.166,1.722875695
0.168,1.861584895
0.17,2.016612824
0.172,2.024772189
0.174,2.073728377
0.176,2.285871859
0.178,2.179800118
0.18,2.049250283
0.182,1.551529036
0.184,1.673919506
0.186,1.690238236
0.188,1.828947436
0.19,1.886062989
0.192,2.032931553
0.194,2.098206471
0.196,2.359306142
0.198,2.171640753
0.2,2.016612824
0.202,1.608644589
0.204,1.747353789
0.206,1.869744259
0.208,1.877903624
0.21,1.910541083
0.212,2.049250283
0.214,2.196118847
0.216,2.294031224
0.218,2.081887742
0.22,1.861584895
0.222,1.551529036
0.224,1.861584895
0.226,1.894222353
0.228,1.828947436
0.23,2.106365836
0.232,2.081887742
0.234,2.204278212
0.236,2.245075036
0.238,2.163481389
0.24,2.016612824
0.242,1.616803953
0.244,1.796309977
0.246,1.894222353
0.248,1.967656636
0.25,2.098206471
0.252,2.049250283
0.254,2.318509318
0.256,2.367465506
0.258,2.155322024
0.26,1.886062989
0.262,1.600485224
0.264,1.828947436
0.266,1.828947436
0.268,1.845266165
0.27,2.032931553
0.272,2.163481389
0.274,2.310349953
0.276,2.2532344
0.278,2.122684565
0.28,1.894222353
0.282,1.527050942
0.284,1.845266165
0.286,1.926859812
0.288,1.983975365
0.29,2.098206471
0.292,2.122684565
0.294,2.367465506
0.296,2.318509318
0.298,2.13084393
0.3,1.877903624
0.302,1.559688401
0.304,1.845266165
0.306,1.845266165
0.308,2.032931553
0.31,2.090047106
0.312,2.236915671
0.314,2.465377883
0.316,2.351146777
0.318,2.106365836
